X,Y,Z,formation,series,formation number
616479.9716981183,2476749.887984268,551.0,Unit2,Default series,2
616483.0901016816,2476729.3175520967,551.0,Unit2,Default series,2
616468.7342950576,2476725.373336802,551.0,Unit2,Default series,2
616467.9834255248,2476707.7337562735,548.0,Unit2,Default series,2
616451.1781797125,2476715.9725501053,546.0,Unit2,Default series,2
616447.1330771674,2476671.1761385174,537.0,Unit2,Default series,2
616457.8223921165,2476641.422240643,532.0,Unit2,Default series,2
616442.9409388604,2476616.5372182475,522.0,Unit2,Default series,2
616426.2511801339,2476578.727624032,524.0,Unit2,Default series,2
616419.8379694303,2476546.9493422755,521.0,Unit2,Default series,2
616409.8491071977,2476515.8103284542,510.0,Unit2,Default series,2
616411.0045392432,2476482.6639693608,510.0,Unit2,Default series,2
616398.4393038303,2476413.8732688543,488.0,Unit2,Default series,2
616381.2905310314,2476381.4234413384,483.0,Unit2,Default series,2
616343.1514751553,2476398.4908080804,488.0,Unit2,Default series,2
616293.9390180081,2476416.220164316,527.0,Unit2,Default series,2
616237.421528377,2476422.0706137014,538.0,Unit2,Default series,2
616211.6189863428,2476394.361207519,550.0,Unit2,Default series,2
616193.0276688543,2476354.0107519287,552.0,Unit2,Default series,2
616176.6411285619,2476320.576606745,547.0,Unit2,Default series,2
616167.8828358507,2476308.139740822,546.0,Unit2,Default series,2
616136.7693234956,2476294.02901342,543.0,Unit2,Default series,2
616112.9380460229,2476282.395798066,538.0,Unit2,Default series,2
616097.4069130247,2476250.212479522,522.0,Unit2,Default series,2
616073.1312763916,2476233.1495963996,522.0,Unit2,Default series,2
616052.603660555,2476212.083024433,510.0,Unit2,Default series,2
616034.1703808024,2476193.2759492965,503.0,Unit2,Default series,2
616016.669128577,2476175.4611205915,507.0,Unit2,Default series,2
616006.6603841374,2476150.41270142,499.0,Unit2,Default series,2
615995.2732767889,2476122.5931668775,488.0,Unit2,Default series,2
616007.8546002249,2476090.272006594,478.0,Unit2,Default series,2
615999.3944951302,2476070.1552166846,473.0,Unit2,Default series,2
615997.659827804,2476051.9032562957,473.0,Unit2,Default series,2
615961.8346221631,2476004.4610792734,456.0,Unit2,Default series,2
615942.883390772,2475970.1293570115,449.0,Unit2,Default series,2
615939.0414766234,2475949.1503723706,444.0,Unit2,Default series,2
615960.2682497912,2475916.677443763,437.0,Unit2,Default series,2
615935.7973610512,2475875.1928369035,444.0,Unit2,Default series,2
615928.5476983843,2475829.639415663,445.0,Unit2,Default series,2
615928.6329550523,2475776.9187377733,442.0,Unit2,Default series,2
615918.1818931028,2475761.1334419926,443.0,Unit2,Default series,2
615920.337790051,2475741.6468065823,438.0,Unit2,Default series,2
615912.689291131,2475724.9166189544,438.0,Unit2,Default series,2
615860.0081861084,2475702.6478093984,445.0,Unit2,Default series,2
615832.5255455845,2475685.615625006,450.0,Unit2,Default series,2
615808.5562061259,2475643.9055894343,438.0,Unit2,Default series,2
615768.9153564714,2475621.911396117,430.0,Unit2,Default series,2
615768.9517755911,2475621.3406813457,430.0,Unit2,Default series,2
615771.9713435731,2475562.468720676,418.0,Unit2,Default series,2
615759.5383682961,2475527.55703887,418.0,Unit2,Default series,2
615759.7170627218,2475525.820445819,418.0,Unit2,Default series,2
615739.587623511,2475478.073734331,410.0,Unit2,Default series,2
615711.9874796008,2475448.181121393,418.0,Unit2,Default series,2
615666.299155624,2475450.659518231,426.0,Unit2,Default series,2
615644.3887575894,2475437.5796184507,431.0,Unit2,Default series,2
615622.9482380375,2475422.2884485284,425.0,Unit2,Default series,2
615608.0203512573,2475404.048584018,425.0,Unit2,Default series,2
615578.8680036629,2475356.395658813,399.0,Unit2,Default series,2
615548.4417716805,2475334.8261111677,386.0,Unit2,Default series,2
615548.4513494667,2475334.1278847423,386.0,Unit2,Default series,2
615539.7543387908,2475304.7992621525,380.0,Unit2,Default series,2
615549.306866455,2475275.1991363033,378.0,Unit2,Default series,2
